uniq_id,name,name_s,season,Premiere,Episode,episode_duration,channel,permission,writer,actor1,actor2,actor3,genre1,genre2,genre3,genre4,genre5,aka1,aka2,aka3,country,language,IMDb,score,review,5star,4star,3star,2star,1star
https://www.douban.com/doubanapp/dispatch?uri=/tv/35131175,老板不知道的我 第二季,老板不知道的我,2,2020-06-24,8,15分钟,腾讯视频,免费观看,,马薇薇,鄂靖文,张雪峰, 纪录片,短片,,,, 老板不知道的我2020,,,中国大陆,汉语普通话,,7.2,718,24.7%,24.7%,26.0%,13.6%,3.2%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35015960,汪喵物语,汪喵物语,,2020-05-20,10,60分钟,优酷视频,VIP免费观看,,朱正廷,张雨剑,边江, 真人秀,,,,,,,,中国大陆,汉语普通话,,7.2,2896,19.7%,19.7%,23.0%,13.1%,3.3%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34967982,云端,云端,1,2020-11-02,9,15分钟,优酷视频,免费观看, 叶小白,江奇霖,孙睿,陈秋伶, 悬疑,短片,,,, 云端囚徒,悬疑小说,,中国大陆,汉语普通话,,7.3,3571,11.2%,11.2%,36.9%,2.1%,1.2%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35048852,探世界,探世界,1,2020-04-22,12,58,优酷视频,免费观看, 高晓松,高晓松,,, 脱口秀,,,,, The Way to World Culture,晓世界(原名),,中国大陆,汉语普通话,tt12083320,7.6,4026,18.8%,18.8%,27.4%,3.5%,1.3%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34795617,决胜荒野,决胜荒野,2,2020-04-24,6,53分钟,哔哩哔哩,VIP免费观看,,埃德·斯塔福德,朱炜强,, 冒险,真人秀,,,, 决胜荒野中国篇,决胜荒野之华夏秘境,,中国大陆,英语,tt15517304,7.7,3794,22.0%,22.0%,25.5%,4.3%,0.7%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35058192,定义,定义,,2020-05-08,15,45分钟,芒果TV,免费观看,,易立竞,杜华,万茜, 脱口秀,,,,, 定义：就是打破别人的定义,,,中国大陆,汉语普通话,,7.8,3922,19.0%,19.0%,19.8%,2.8%,1.8%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35208285,盯书机,盯书机,,2020-09-18,20,11分钟,哔哩哔哩,免费观看, 李若瑄,,,, 纪录片,短片,,,,,,,中国大陆,汉语普通话,,8.0,1144,26.2%,26.2%,22.4%,2.8%,0.0%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35209666,上新了·故宫 第三季,上新了,,2020-10-24,12,,爱奇艺视频,VIP免费观看,,邓伦,聂远,张鲁一, 真人秀,,,,, 上新了·故宫3,,,中国大陆,汉语普通话,,8.3,3980,34.7%,34.7%,16.7%,1.3%,0.0%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35172574,亲爱的小课桌,亲爱的小课桌,,2020-08-26,10,120分钟,爱奇艺视频,VIP免费观看,,陈建斌,叶一茜,傅首尔, 真人秀,,,,,,,,中国大陆,汉语普通话,,8.5,1606,42.3%,42.3%,15.4%,0.8%,0.0%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35242858,西泠印社,西泠印社,,2020-11-18,6,40分钟,腾讯视频,VIP免费观看, 张拓,,,, 纪录片,,,,,,,,中国大陆,汉语普通话,tt13534790,8.7,872,47.8%,47.8%,9.0%,3.0%,0.0%
