actor,weibo_name,follower
毛晓彤,毛晓彤,2082.2万
许凯,许凯soso,2061.2万
斯蒂芬·弗雷,No weibo account,
赵晴,赵晴HT,30.3万
马洋,马洋6L96,12.5万
刘校妤,牛怒牛笑魚,27.9万
黄子星,黄子星_,33万
刘琮,刘琮729,116万
刘怡潼,刘怡潼,504.8万
杨采钰,杨采钰Ora,543万
张瑜,张瑜Yvonne,2.5万
辛云来,辛云来,407万
刘宇航,刘宇航-Rain,109.1万
Aunty菊,aunty菊,1265
天爱,No weibo account,
李静,李静,1376.3万
倪寒尽,倪寒尽,209.6万
陈钰琪,陈钰琪Yukee,1102.2万
张景昀,张景昀要更努力,76.3万
林博洋,L林博洋,102.6万
晏紫东,晏紫东,544.2万
关锦鹏,关锦鹏,26.3万
林春柳,林春柳9,149
杜德伟,杜德偉,166.1万
大张伟,大张伟,1222.8万
啜妮,啜妮,545.1万
张芷溪,张芷溪,1188.2万
张柏嘉,张柏嘉,328.2万
丁真珍珠,No weibo account,
朱凤蓉,No weibo account,
陈奕龙,陈奕龙,491万
傅韵哲,易安音乐社-傅韵哲,97万
陈鹤一,陈鹤一,295.9万
张钧甯,張鈞甯,1586.1万
丹琳,丹琳,166万
郭鸿博,郭鸿博的法令纹,76
吴明晶,吴明晶_,21.6万
苗苗,苗苗-vivi,545.7万
罗晨心,罗晨心Yvette,20.7万
赵樱子,赵樱子,1308.7万
大卫·科洛斯夫,No weibo account,
徐滨,徐滨XuBin,83.1万
北辰,No weibo account,
夏之光,X玖少年团夏之光,1159.8万
聂曦映,聂曦映的小西柚,1098
任豪,任豪_EVOL,1051.2万
常蓉珊,No weibo account,
陈锦闻,No weibo account,
蔡卓妍,蔡卓妍,2116.5万
毛不易,毛不易,1913.5万
富大龙,富大龙,13.2万
柳真颜,No weibo account,
于非凡,演员于非凡,200万
李玉刚,李玉刚,643.6万
陈楚乔,陈楚乔Qiao,4449
赵本山,赵本山,1473.1万
胡彦斌,胡彦斌,1427.6万
熊梓淇,熊梓淇,2466.8万
何广沛,Matthew何廣沛,18.6万
王馥荔,No weibo account,
申秋香,No weibo account,
王双,王双Shuang,422.7万
王宝强,王宝强,2814.3万
凌美仕,凌美仕,217.3万
李晨,李晨,5539.5万
陈雨锶,陈雨锶Sr,140.6万
王思文,No weibo account,
解至腾,No weibo account,
姜之南,姜之南,68.5万
尤靖茹,尤靖茹,407.7万
王潇倩,我是王王王小饼,7.1万
印小天,印小天,685.2万
黄羿,黄羿Piggy,201.2万
朱颜曼滋,朱颜曼滋,231万
陈立农,陈立农,2040万
杨丞琳,楊丞琳,1455.9万
张锦新,No weibo account,
萧亚轩,蕭亞軒MISSELVA,1372.7万
谢霆锋,锋味,1241.5万
江疏影,江疏影,2195.4万
董琦,董琦kiki,101.4万
李光复,李光复V,73.4万
吴恙,吴恙,234.6万
汪聪,汪聪,109.6万
梁冠华,梁冠华,26万
杜海涛,杜海涛,3780.8万
凃雄飞,糖醋腊排骨,1427
闫猛,No weibo account,
邢昀,演员邢昀,1.3万
张远,张远Bird,884.8万
周子寒,周子寒诶,11.9万
代露娃,代露娃,220万
杨子姗,杨子姗,619.4万
金星,金星,1370.8万
朱志鑫,TF家族-朱志鑫,598.4万
童蕾,童蕾,381.9万
马原,马原,40.8万
虫虫,虫虫Chonny,631.7万
程璐,程璐,254万
张楚寒,张楚寒_Bunny,163.2万
漆昱辰,漆昱辰Duebass,368.5万
萍措卓玛,萍措卓玛,41
侯东 Dong Hou,侯东_,231.4万
杨长青,ICE杨长青,508.4万
穆丽燕,穆丽燕_,1121
程相,程相zzz,5.5万
王卫亚,濮阳王卫亚,187
白曼可,tata白曼可的妈咪,89
钟楚曦,钟楚曦,808万
赵岭,配音演员赵岭,27.6万
张昕懿,张昕懿,64.5万
芷彤,赵芷彤Cassie,58.9万
张集骏,张集骏,256.5万
高茂桐,高茂桐本人,192.1万
明加加,明加加,7.1万
刘些宁,刘些宁,485.7万
朱珠,朱珠ZhuZhu,294.7万
张嘉倪,张嘉倪,1091.3万
顺吉,顺吉,1553
陈立安,陈立安ansonchen,114.7万
牛子藩,牛牛牛子藩,214.9万
乔苏,No weibo account,
林雨申,林雨申,934.7万
张艺兴,张艺兴,5072.9万
马伊琍,马伊琍,4485.4万
黄俊鹏,黄俊鹏,235.4万
陈少熙,种地吧陈少熙,75万
马元,马元,74万
恺恺,恺恺Cathy,57.3万
韩雨彤,韩雨彤Hazel,66.5万
祖晴,祖晴-配音演员,14.9万
吴昕,吴昕,3786.8万
林保怡,林保怡,196.3万
徐梦浩,徐梦洁,1247.5万
高海宝,高海宝_,19.5万
陶醉,演员陶醉,1.1万
白冰,MR-白冰,82.7万
锺叔河,No weibo account,
谷嘉诚,X玖少年团谷嘉诚BAE,1308.9万
吴瑞淞,吴瑞淞Rick,148.8万
括号君,战场老军医括号君,24.9万
黄靖洲,No weibo account,1159
陈凯颖,陈凯颖YY,1446
成止微,成止微醺,7.3万
何与,何与,388.9万
蒋雯丽,蒋雯丽工作室,175.4万
祺哥,No weibo account,
于正,于正,833.2万
骆明劼,骆明劼,167万
厉嘉琪,厉嘉琪,524万
曾赠,No weibo account,
黄宗泽,黄宗泽,1397万
信友青,No weibo account,
李砚,李砚yan,441.7万
阿部力,我是阿部力,15.8万
周翊然,周翊然Tz,423.1万
王龙正,王龙正,447.9万
谢添天,谢添天,84万
郭康敏,郭康敏--,12.3万
何洁,何洁,691.3万
徐正溪,徐正溪Jeremy,1518.8万
陈曌旭,陈曌旭嘘,49.2万
刘学义,Mr_刘学义,930.6万
肖慕尘,肖慕尘,10.1万
宣璐,宣璐,1150.3万
林志颖,夢想家林志穎,7295.9万
曾轶可,曾轶可NewestNews,275.3万
管栎,管栎YUE,765.8万
彭必瑶,彭必瑶,209.5万
李立群,李立群,56.2万
曹峻祥,曹峻祥,210.7万
山根希美,No weibo account,
王栎鑫,王栎鑫,728.7万
连奕名,连奕名,29.1万
刘佩琦,刘佩琦工作室,3.8万
马家辉,马家辉在香港,185.9万
吴汉坤,吴汉坤Ken,2.7万
刘木子,刘木子maggie,280.7万
徐立,徐立,218.3万
毛头,毛毛头shelley,5041
庞博,庞博pangbobo,366.6万
张新成,张新成,1518.4万
刘雯,刘雯,2585.8万
谷江山,谷江山729,175.1万
谭笑,No weibo account,
周笔畅,周笔畅,3158万
郭秋成,演员郭秋成,50.2万
张韦,No weibo account,
胡海泉,胡海泉,572.1万
张籽沐,张籽沐,355万
敖瑞鹏,敖瑞鹏的微博,497.4万
杨坤,杨坤,479.5万
魏大勋,魏大勋,2744万
邵羽柒,邵羽柒,30.3万
娄清,娄清_Tsing,15.4万
杨凯祺 ,杨凯祺729,15.6万
崔蹬文,No weibo account,
张丹峰,张丹峰,1077.4万
周迅,i周迅,668万
黄志忠,演员黄志忠,83.6万
郑合惠子,郑合惠子,1021.4万
柳翰雅,阿雅,804.8万
张可盈,可可张可盈,218.8万
陈凯歌,陈凯歌,196.1万
任世豪,任世豪Ryan,368.3万
龙洋,龙洋V,53.1万
何德瑞,何德瑞_RR,262.5万
沙一汀,沙一汀EL,318.9万
赵珂,赵珂__,270.2万
何花,何花camile,107.7万
李凯馨,李凱馨Eleanor,910.2万
曹君豪,No weibo account,
柯颖,柯颖ii,140万
邱天,No weibo account,
李欣燃,李欣燃--,160.4万
陈晓东,陈晓东,1110.9万
张墨锡,张墨锡,10.1万
郑钧,郑钧,467.4万
王皓轩,王皓轩LIVERPOOL,562.1万
宋霄瑛子,宋霄瑛子,12.2万
黄新淳,黄新淳先生,642.9万
张桂梅,张桂梅1016,5.1万
吴啸海,吴啸海WXH,92
梁洁,梁洁Little,1261.4万
谢彬彬,谢彬彬,922.6万
胡一天,胡一天啊,2013.6万
寇家瑞,寇家瑞Ryan,78.5万
张培,张培老师,7.4万
王祺,王祺DRIFT-Q,7118
付辛博,付辛博,790.8万
邓佳鑫,TF家族-邓佳鑫,375.7万
王玮,王玮建造师,20.5万
陈欣予,陈欣予maggie,343.1万
师铭泽,师铭泽11,299.2万
刘琳,演员刘琳,96.9万
周秀娜,周秀娜Chrissienana,599.8万
杜亚飞,杜亚飞Moments_,26.8万
易烊千玺,TFBOYS-易烊千玺,8983.5万
严智超,严智超吖,22.5万
王昱尧,No weibo account,
陈学冬,陈学冬,3901.3万
雪梅,孙雪梅,82.7万
朱炜强,朱炜强,102万
陈泽,演員陳澤,5.4万
