剧名,集数,制作,首播,主演,题材
站在你的角度看我第二季,12,2018,6月19日 爱奇艺,朱圣祎、王关彭、徐晗,都市
我心深触,28,2018,6月19日 腾讯视频,周澄奥、王可如、李茂、崔心心,悬疑
火爆天王,24,2017,6月24日 腾讯视频,谭学亮、陈衍利,都市
陈情令,50,2018,6月27日 腾讯视频,肖战、王一博、孟子义、宣璐,古装
嘿！客栈,16,2017,6月27日 优酷/爱奇艺,吴浩、许歌、孙逸仁、王骊亚、高宇航,都市
超级影后之初次做人,12,2018,6月28日 爱奇艺,朱一文,都市
热搜女王,15,2018,7月4日 搜狐视频,李昕岳、王祉萱、刘贾玺、张馨比、丹尼斯·吴、瞿颖、徐开骋,都市
天雷一部之春花秋月,40,2018,7月5日 优酷,李宏毅、赵露思、吴俊余,古装
超级玩家,12,2017,7月8日 爱奇艺,田雷、逯子,古装
再见，将来,12,2018,7月9日 爱奇艺,罗彬、李萌萌、张敬言、王永超,都市
少年江湖物语,24,2018,7月10日 爱奇艺,周彦辰、骆明劼,古装
那年夏天有风吹过,27,2018,7月11日 芒果TV,蔡尧、朱玉、刘育同、孟子荻、冷心清（客串:邓宁）,都市
诊室疯云,20,,7月15日 优酷,陈一、王培祎、刘梦梦,都市
天真派西游记,16,2018,7月15日 腾讯视频（首播），7月25日 金鹰卡通卫视（上星）,葛奕德、段智文、万君逸、董家忱,古装
无主之城,24,2018,7月24日 爱奇艺,杜淳、刘奕君、许龄月、代旭,悬疑
全职高手,40,2018,7月24日 腾讯视频,杨洋、江疏影、赖雨濛、赖艺、李沐宸,青春
你的未来已签收,12,2018,7月30日 优酷,孙旸、崔奕、杨铭,都市
我的单板女孩第一季,12,2018,7月31日 爱奇艺,李川、康宁,都市
唯美貌不可辜负,24,2018,7月31日 爱奇艺,高泰宇、辛瑞琪、胡浩博,都市
凸变英雄BABA,8,2019,8月3日 Bilibili,衣云鹤、高煜霏,科幻
谋爱上瘾,24,2018,8月12日 爱奇艺,陈艳茜、蒙恩、祖怀、杜雯静,都市
我的邻居睡不着,24,2018,8月13日 优酷,陈怡馨、王子鑫、马雪阳,都市
极限17：羽你同行,12,2019,8月13日 腾讯视频/芒果TV,梁靖康、杨超越,春青
食分喜欢你,20,2019,8月15日 芒果TV,陈博豪、屠芷莹、晏紫东,都市
我的单板女孩第二季,12,2018,8月15日 爱奇艺,李川、康宁,都市
