剧名,集数,制作,首播,主演,题材
觉醒年代,43,2018,2月1日 央视一套,张桐、于和伟,革命
家道颖颖之大考2020,6,2020,2月1日 央视网,梁祺顺、来喜,乡土
乡村篮球队,35,2014,2月9日 央视八套(下午),巫刚、谢园、吕中,乡土
温暖的土地,37,2018,2月11日 扬州生活频道,禇栓忠、梁琳琳,乡土
玉泉人家,40,2017,2月13日 呼和浩特广播电视台都市生活频道,张瑛,生活
鲜花盛开的山村,40,2019,2月20日 央视八套(下午),王嘉、马诗红,乡土
妈妈在等你,47,2020,2月28日 南京新闻综合频道（首播），3月15日 央视八套（上星）,张延、宋佳伦,乡土
铁道风云,48,2018,3月19日 南通新闻综合频道（首播），9月16日 央视八套（上星）,李浩轩、夏一瑶、王大奇,抗战
经山历海,32,2020,3月23日 央视一套,王丽坤、张国强、邹廷威,乡土
亲情的秘密,35,2019,4月1日 东方影视频道,傅晶、迟帅,生活
三道塬,38,2019,4月2日 四川影视文艺频道,马敬涵、张雯,抗战
热血枪手,36,2016,4月9日 安徽影视频道,陈龙、印小天、章龄之,年代
号手就位,49,2019,4月13日 浙江/江苏卫视,李易峰、陈星旭、张馨予、肖央,军旅
绝密使命,32,2020,4月18日 央视一套,张桐、应昊茗、牟星,革命
温州三家人,40,2018,5月3日 央视八套,张陆、顾璇、刘佩琦、巫刚 （客串常戎、吕中）,改革
理想照耀中国,40,2020,5月4日 湖南卫视730节目带,群星,改革
啊摇篮,40,2020,5月4日 北京/东方/广东卫视,海清、李泽锋、周也,革命
大浪淘沙,40,2020,5月11日 浙江/江苏卫视,保剑锋、成泰燊、海清,革命
中流击水,30,2020,5月15日 央视一套,王仁君、董勇、王志飞、马少骅,革命
温暖的味道,40,2019,5月17日 湖南卫视金鹰独播剧场,靳东、李乃文、毛晓慧、吴越、高露,乡土
猎狼者,8,2020,5月24日 湖南卫视芒果季风,秦昊、尹昉,涉案
光荣与梦想,40,2020,5月25日 北京/东方卫视,群星,革命
向警予,42,2017,5月25日 央视八套,胡静、隋咏良、侯京健,革命
好雨知时节,36,2018,5月26日 山东卫视,任正斌、黄小蕾,乡土
爱上特种兵,40,2020,6月1日 爱奇艺（首播），8月10日 深圳卫视（上星）,黄景瑜、李沁,军旅
雾中系铃人,38,2019,6月7日 扬州城市频道,富大龙、孙茜、张晞临,涉案
叛逆者,43,2020,6月7日 央视八套,朱一龙、童瑶、王志文,谍战
雪豹特战,36,2014,6月10日 爱奇艺,朱时茂、金莉莉、张峻宁,军旅
百炼成钢,42,2020,6月13日 湖南卫视金鹰独播剧场,群星,革命
我们的新时代,48,2020,6月16日 北京/东方卫视,群星,改革
谎言真探,16,2018,6月21日 湖南卫视芒果季风,余男、邢佳栋,悬疑
不说再见,47,2018,6月22日 腾讯视频/爱奇艺,任嘉伦、张钧甯,涉案
守护人,39,2017,6月23日 深圳电视剧频道,韩雪、张宁江、寇振海、徐百卉,年代
大决战,49,2020,6月25日 央视一套,群星,革命
阿坝一家人,34,2019,7月3日 浙江/江苏卫视,蒲巴甲、丁勇岱、缪婷茹、娜仁花,乡土
飞天英雄,42,2018,7月5日 南京新闻综合频道,成泰燊、温峥嵘、吴健、涂黎曼,军旅
衡山医院,36,2018,7月8日 央视八套,秦俊杰、涂松岩、孙铱,谍战
青山遮不住,39,2020,7月11日 山东齐鲁频道,俞灏明、李曼、李乃文、徐小飒、孙骁骁、杜志国、郑卫莉,乡土
