score,review,5star,4star,3star,2star,1star,director,writer,actor,genre,country,language,Premiere,season,Episode,Episode Length,aka,IMDb,name,link-href,channel,permission
7.6,1237人评价,23.3%,23.3%,26.4%,3.1%,3.1%,导演: 吕小品,编剧: 张谦 / 郭宏,张国强 / 马丁 / 李博 / 李琦,类型: 喜剧,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-08-12(中国大陆),,集数: 38,单集片长: 45分钟,又名: 小镇警事·明天我休息,IMDb: tt12861894,小镇警事,https://www.douban.com/doubanapp/dispatch?uri=/tv/30222894,央视频,VIP免费观看
7.8,316人评价,23.9%,23.9%,29.6%,1.4%,0.0%,导演: 夏骏,,,,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-08-03(中国大陆),季数: 1,集数: 3,单集片长: 45分钟,又名: Qinhuai River,,秦淮河,https://www.douban.com/doubanapp/dispatch?uri=/tv/35168396,优酷视频,VIP免费观看
7.8,316人评价,23.9%,23.9%,29.6%,1.4%,0.0%,导演: 夏骏,,,,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-08-03(中国大陆),季数: 1,集数: 3,单集片长: 45分钟,又名: Qinhuai River,,秦淮河,https://www.douban.com/doubanapp/dispatch?uri=/tv/35168396,腾讯视频,VIP免费观看
7.8,6905人评价,22.5%,22.5%,27.2%,2.4%,0.0%,导演: 米若羲,,叶锦添 / 曹郁 / 赵楠 / 张杰 / 丁燕来 / 魏明 / 周逸夫更多...,类型: 纪录片,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-02-28(中国大陆),,集数: 5,单集片长: 17分钟,又名: Tales of Chinese Filmmakers,IMDb: tt11892640,我在中国做电影,https://www.douban.com/doubanapp/dispatch?uri=/tv/34973406,,
7.9,1566人评价,28.5%,28.5%,26.2%,2.8%,0.5%,导演: 王嘉婧 / 陈碧君,,李厚辰 / 梁文道 / 青山周平 / 周轶君 / 梁鸿 / 陈丹青 / 周奇墨更多...,类型: 脱口秀,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-11-26(中国大陆),季数: 1,集数: 6,单集片长: 35分钟,又名: in-between,,一日谈,https://www.douban.com/doubanapp/dispatch?uri=/tv/35268009,,
8.0,5009人评价,26.7%,26.7%,20.9%,2.5%,0.6%,导演: 王圣志,,马原 / 吴啸海 / 马家辉 / 焦元溥 / 麦家 / 史航 / 阿来 / 谢有顺 / 小白 / 高翊峰更多...,类型: 纪录片,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-04-16(中国大陆),,集数: 5,单集片长: 55分钟,,,文学的日常,https://www.douban.com/doubanapp/dispatch?uri=/tv/35006021,优酷视频,VIP免费观看
8.1,685人评价,31.3%,31.3%,15.0%,5.0%,1.3%,导演: 陈磊 / 陈丽萍 / 黄乔 / 谢曼婉 / 谢卓恒,编剧: 史榕,,类型: 纪录片 / 短片,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-02-10(中国大陆),,集数: 25,单集片长: 5分钟,,,我的白大褂·抗疫日记,https://www.douban.com/doubanapp/dispatch?uri=/tv/34967081,,
8.1,1215人评价,25.0%,25.0%,21.3%,0.0%,0.0%,导演: 竹内亮,,阿部力,类型: 纪录片,制片国家/地区: 中国大陆 / 日本,语言: 汉语普通话,2020-03-26(中国大陆),,集数: 100,,,,我住在这里的理由 第三季,https://www.douban.com/doubanapp/dispatch?uri=/tv/35026152,哔哩哔哩,免费观看
8.3,1377人评价,33.8%,33.8%,16.2%,1.5%,0.0%,导演: 李丹彪,编剧: 温姬彦,马未都,类型: 脱口秀,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-10-28(中国大陆),,集数: 16,单集片长: 30分钟,又名: 观复嘟嘟 第三季 / 都嘟 第四季,,观复嘟嘟2020,https://www.douban.com/doubanapp/dispatch?uri=/tv/35236769,,
9.2,5238人评价,66.7%,66.7%,5.3%,0.0%,1.5%,导演: 张建珍,,,类型: 纪录片,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-05-13(中国大陆),,集数: 5,单集片长: 40分钟,又名: 中国医生疫情版 / The Chinese Doctor: The Battle Against COVID-19,IMDb: tt12363166,中国医生战疫版,https://www.douban.com/doubanapp/dispatch?uri=/tv/35067400,爱奇艺视频,VIP免费观看
